 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:8000
Press CTRL+C to quit
127.0.0.1 - - [29/Jul/2026 21:15:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:51] "OPTIONS /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:51] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:51] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:51] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:51] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:52] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:52] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:52] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:52] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:54] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:55] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:55] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:56] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:58] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:58] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:58] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:18:59] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:18] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:18] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:18] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:19] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:19] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:19] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:19] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:19] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:24] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:27] "OPTIONS /ucs/2 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:28] "PUT /ucs/2 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:28] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:28] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:28] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:28] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:20:29] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:27] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:30] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:31] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:31] "OPTIONS /categories HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:31] "OPTIONS /documents?clienteId=1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:32] "GET /documents?clienteId=1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:32] "GET /categories HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:33] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:33] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:33] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:33] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:35] "GET /categories HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:35] "GET /documents?clienteId=1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:39] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:43] "OPTIONS /ucs/2 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:43] "PUT /ucs/2 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:43] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:44] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:44] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:44] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:44] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:44] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:45] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:46] "OPTIONS /categories HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:46] "OPTIONS /documents?clienteId=1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:46] "GET /categories HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:21:46] "GET /documents?clienteId=1 HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:05] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:05] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:05] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:06] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:11] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "OPTIONS /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "OPTIONS /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:12] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:13] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:13] "GET /plants HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:13] "GET /ucs HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:22:13] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:33:25] "OPTIONS /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:33:25] "OPTIONS /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:33:25] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:33:25] "GET /clients HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:43] "OPTIONS /config/database HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:43] "OPTIONS /oauth/google/accounts HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:43] "OPTIONS /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:44] "GET /config/database HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:44] "GET /settings HTTP/1.1" 200 -
127.0.0.1 - - [29/Jul/2026 21:45:44] "GET /oauth/google/accounts HTTP/1.1" 200 -
